Date,Greenland,Canada,USA,eastern Canada,western Canada,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
26/08/1997,0.057,-0.158,-0.021,0,-0.053,-0.359,-0.005,0,0,-0.046,-0.058
27/08/1997,0.1,-0.126,-0.024,0.002,-0.05,-0.28,-0.02,0,0,-0.046,-0.058
28/08/1997,0.091,-0.135,-0.015,0.001,-0.053,-0.3,0.019,0,0,-0.046,-0.058
29/08/1997,0.099,-0.131,-0.011,0.001,-0.053,-0.291,0.034,0,0,-0.045,-0.057
30/08/1997,0.107,-0.158,0.01,0.001,-0.051,-0.361,0.123,0,0,-0.045,-0.057
31/08/1997,0.095,-0.164,0.013,0,-0.052,-0.374,0.134,0,0,-0.044,-0.056
01/09/1997,-0.532,-0.147,0.019,0,-0.049,-0.334,0.161,0,0,-0.044,-0.056
02/09/1997,-0.504,-0.151,0.02,0,-0.044,-0.349,0.163,0,0,-0.044,-0.055
03/09/1997,-0.48,-0.131,0.028,0,-0.024,-0.313,0.162,0,0,-0.022,-0.03
04/09/1997,-0.458,-0.11,0.028,0,-0.019,-0.265,0.161,0,0,-0.021,-0.031
05/09/1997,-0.423,-0.074,0.02,0.01,-0.018,-0.182,0.128,0,0,-0.021,-0.031
06/09/1997,-0.392,-0.048,0.018,0.001,-0.01,-0.115,0.119,0,0,-0.021,-0.031
07/09/1997,-0.37,-0.046,0.007,0.001,-0.011,-0.109,0.072,0,0,-0.021,-0.03
08/09/1997,-0.396,-0.032,0.012,0.001,0.011,-0.093,0.097,0,0,-0.021,-0.031
09/09/1997,-0.36,-0.042,0.002,0.007,-0.064,-0.057,0.055,0,0,-0.02,-0.035
10/09/1997,-0.343,-0.013,0.03,0.002,-0.037,-0.002,0.161,0,0,-0.02,-0.024
11/09/1997,-0.227,-0.005,0.065,0.002,-0.048,0.029,0.164,0,0.011,-0.02,0.074
12/09/1997,-0.206,0.041,0.037,0.013,-0.071,0.159,0.149,0,0.005,-0.02,0.002
13/09/1997,-0.196,0.041,0.02,0.017,-0.073,0.156,0.126,0,0,-0.019,-0.029
14/09/1997,-0.163,0.076,0.02,0.011,-0.081,0.259,0.128,0,0,-0.019,-0.031
15/09/1997,-0.129,0.003,0.03,0.021,-0.086,0.069,0.159,0,0,-0.019,-0.023
16/09/1997,-0.098,0.049,0.029,0.042,-0.086,0.17,0.149,0,0,-0.019,-0.019
